local_alias,item_name,rate
1-1/2 long bend,1½ CPVC Long Radius Bend,416.0
2 long bend,2 CPVC Long Radius Bend,781.0
,¾  CPVC Sweep Bend (with side socket),81.0
,1 CPVC Sweep Bend (with side socket),130.0
,1¼ CPVC Sweep Bend (with side socket),238.0
3/4 step over bend long,¾ CPVC Step Over Bend(L),176.0
1 step over bend long,1 CPVC Step Over Bend(L),323.0
1/2 step over bend,½ CPVC Step Over Bend,94.0
3/4 step over bend,¾ CPVC Step Over Bend,130.0
1 step over bend,1 CPVC Step Over Bend,236.0
1-1/4 step over bend,1¼ CPVC Step Over Bend,325.0
1-1/2 step over bend,1½ CPVC Step Over Bend,399.0
2 step over bend,2 CPVC Step Over Bend,1004.0
,¾ CPVC NRV-SOC,457.0
,1 CPVC NRV-SOC,794.0
1/2 long dummy,½ CPVC End Plug Threaded,17.0
3/4 long dummy,¾ CPVC End Plug Threaded,23.0
1/2 ball valve,½ CPVC Ball Valve (CTS Socket),164.0
3/4 ball valve,¾ CPVC Ball Valve (CTS Socket),249.0
1 ball valve,1 CPVC Ball Valve (CTS Socket),435.0
1-1/4 ball valve,1¼ CPVC Ball Valve (CTS Socket),709.0
1-1/2 ball valve,1½ CPVC Ball Valve (CTS Socket),1243.0
2 ball valve,2 CPVC Ball Valve (CTS Socket),2286.0
,½ CPVC Ball Valve Handle,24.0
,¾ CPVC Ball Valve Handle,34.0
,1 CPVC Ball Valve Handle,48.0
,1¼ CPVC Ball Valve Handle,78.0
,1½ CPVC Ball Valve Handle,91.0
,2 CPVC Ball Valve Handle,144.0
1/2 ball valve long handle,½ CPVC Ball Valve Long Handle(CTS Socket),140.0
3/4 ball valve long handle,¾ CPVC Ball Valve Long Handle(CTS Socket),236.0
1 ball valve long handle,1 CPVC Ball Valve Long Handle(CTS Socket),439.0
1-1/4 ball valve long handle,1¼ CPVC Ball Valve Long Handle(CTS Socket),689.0
1-1/2 ball valve long handle,1½  CPVC Ball Valve Long Handle(CTS Socket),1232.0
2 ball valve long handle,2 CPVC Ball Valve Long Handle(CTS Socket),2307.0
,½ CPVC Ball Long Handle,19.0
,¾ CPVC Ball Long Handle,29.0
,1 CPVC Ball Long Handle,44.0
,1¼ CPVC Ball Long Handle,70.0
,1½ CPVC Ball Long Handle,83.0
,2 CPVC Ball Long Handle,131.0
,½  CPVC Concealed Valve(Chrome Plated Triangle),1336.0
3/4 concealed stop cock,¾ CPVC Concealed Valve(Chrome Plated Triangle),1472.0
1 concealed stop cock,1 CPVC Concealed Valve(Chrome Plated Triangle),2195.0
,½  CPVC Concealed Valve(Chrome Plated Square),1336.0
,¾ CPVC Concealed Valve(Chrome Plated Square),1645.0
,1 CPVC Concealed Valve(Chrome Plated Square),1926.0
,¾ CPVC Concealed Valve swept L (Chrome Plated Square),1652.0
,1 CPVC Concealed Valve swept L (Chrome Plated Square),1895.0
,¾ CPVC Concealed Valve swept S (Chrome Plated Square),1393.0
,1 CPVC Concealed Valve swept S (Chrome Plated Square),1678.0
,½ CPVC Concealed Valve(Chrome Plated Round),1336.0
,¾ CPVC Concealed Valve(Chrome Plated Round),1645.0
,1 CPVC Concealed Valve(Chrome Plated Round),1926.0
,½ CPVC Concealed Valve(Chrome Plated Flower),1336.0
,¾ CPVC Concealed Valve(Chrome Plated Flower),1645.0
,1 CPVC Concealed Valve(Chrome Plated Flower),1926.0
,¾  CPVC Concealed Valve swept L (Chrome Plated Flower),1680.0
,1 CPVC Concealed Valve swept L (Chrome Plated Flower),1945.0
